procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 51400156 179484 10933416    0    0     0   622 4664 6508  1  1 99  0  0
 1  0      0 51401252 179484 10933472    0    0     0     0 4765 7251  1  0 99  0  0
 0  0      0 51400696 179484 10933524    0    0     0     5 4485 6284  0  0 99  0  0
 0  0      0 51400696 179484 10933572    0    0     0     1 4220 6093  1  1 99  0  0
 0  0      0 51400632 179484 10933616    0    0     0   158 4324 5966  0  0 99  0  0
 0  0      0 51400344 179484 10933708    0    0     0    34 4301 5882  1  0 99  0  0
 0  0      0 51400664 179484 10933708    0    0     0     0 4493 6068  0  0 99  0  0
 1  0      0 51400664 179484 10933772    0    0     0     5 4331 6175  0  0 99  0  0
 0  0      0 51399944 179484 10933852    0    0     0  1169 4690 6747  1  0 99  0  0
 0  0      0 51401148 179484 10933884    0    0     0   106 4228 6267  0  0 99  0  0
 0  0      0 51399224 179484 10933940    0    0     0   682 4179 6316  1  1 99  0  0
 0  0      0 51398492 179484 10933984    0    0     0     0 4613 6156  1  0 99  0  0
 0  0      0 51399224 179484 10934020    0    0     0     5 4140 5719  0  0 100  0  0
 0  0      0 51399160 179484 10934072    0    0     0     1 3969 5772  0  0 99  0  0
 0  0      0 51399320 179484 10934116    0    0     0   158 4023 5760  0  0 99  0  0
 0  0      0 51399320 179484 10934160    0    0     0   390 4103 5795  1  0 99  0  0
 0  0      0 51399124 179484 10934212    0    0     0     0 4336 6087  0  1 99  0  0
 0  0      0 51398940 179484 10934272    0    0     0     5 4110 5936  0  0 99  0  0
 0  0      0 51398008 179484 10934372    0    0     0     1 4186 6194  1  1 99  0  0
 0  0      0 51398632 179484 10934360    0    0     0   138 4326 5890  1  0 99  0  0
 2  0      0 51398280 179484 10934412    0    0     0   366 4293 6496  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 51398132 179484 10934452    0    0     0     0 3844 5594  0  0 99  0  0
 1  0      0 51398132 179484 10934508    0    0     0     5 4259 6056  1  0 99  0  0
 0  0      0 51397796 179484 10934552    0    0     0     1 3918 5913  0  0 99  0  0
 0  0      0 51398504 179484 10934596    0    0     0   130 4105 6051  0  1 99  0  0
 0  0      0 51398148 179484 10934656    0    0     0   350 4501 6126  0  0 99  0  0
 0  0      0 51398436 179484 10934716    0    0     0     0 4406 6123  0  0 99  0  0
 0  0      0 51398312 179484 10934756    0    0     0     5 4443 6051  0  0 99  0  0
